Date,AABA_Close,AABA_Volume,AAPL_Close,AAPL_Volume,AMZN_Close,AMZN_Volume,AXP_Close,AXP_Volume,BA_Close,BA_Volume,CAT_Close,CAT_Volume,CSCO_Close,CSCO_Volume,GE_Close,GE_Volume,GOOGL_Close,GOOGL_Volume,IBM_Close,IBM_Volume,MSFT_Close,MSFT_Volume,XOM_Close,XOM_Volume
09/10/2012,15.85,14110480,90.84,209648887,250.96,3497182,58.24,4296780,70.64,4116678,85.44,4538278,18.8,42384003,22.62,39181933,372.42,3003884,207.99,3580564,29.28,45130560,92.13,13799645
10/10/2012,15.83,14548319,91.56,127588930,244.99,3950008,57.97,3936090,70.34,3642987,84.75,5810594,18.31,42091215,22.43,32784023,372.65,2041203,205.82,4025281,28.98,47227080,91.03,15334651
11/10/2012,15.92,12972955,89.7,136520097,244.22,3447983,58.47,3889622,70.83,3183197,83.16,10635668,18.26,28341169,22.51,24166913,376.12,2383987,205.76,2910149,28.95,41490756,91.17,9791576
12/10/2012,15.88,12239289,89.96,115003665,242.36,2203701,57.89,4401554,71.85,4345945,82.85,7644528,18.4,27102171,22.48,32957738,372.75,2406787,207.8,2711979,29.2,46466731,91.03,9944066
15/10/2012,15.68,20786501,90.68,108124961,244.18,2960049,57.59,5762141,72.25,3858161,82.82,6012871,18.55,27799236,22.64,29580842,370.86,3020098,208.93,3062956,29.51,42448472,91.51,10651649
16/10/2012,15.92,20575765,92.83,137442816,243.94,2204143,58.63,4523929,73.48,4799328,82.81,6357782,18.85,28580119,22.64,35674161,372.72,2058468,211,5632183,29.49,47745539,92.38,9070393
17/10/2012,16.09,19571271,92.09,97327643,247.49,3303018,59.37,5457783,73.63,6061830,84.96,6945636,18.7,28360764,22.91,28273172,378.12,2292819,200.63,12675634,29.59,44211740,93.39,10759075
18/10/2012,16,26362626,90.38,119155512,244.85,5305942,57.61,9677049,74.26,3414174,86.63,7339006,18.6,40273159,22.81,43146844,347.85,12442346,194.96,9296561,29.5,59238423,93.48,11816303
19/10/2012,15.84,32893703,87.12,186021017,240,4396972,56.86,8127248,74.01,5407949,86.62,6813805,18.04,63726266,22.03,107882145,341.24,11483428,193.36,6621563,28.64,90476951,92.15,15929732
22/10/2012,15.77,32287973,90.58,136682392,233.78,4499938,56.74,5003102,73.7,4420288,83.86,9875249,18.19,26335454,21.7,86744990,339.67,4057872,194.4,4404728,28,83383976,92.19,11446885
23/10/2012,16.67,71575349,87.62,176786197,234.31,4431962,55.38,8745877,72.82,4545053,85.08,17161215,18.01,33993063,21.28,56299378,340.52,2916978,191.25,4427470,28.05,64418754,90.18,14085591
24/10/2012,16.55,25119645,88.12,139631772,228.49,3679682,55.23,5726875,72.71,8346715,83.58,7496353,17.38,61969166,21.26,42297860,338.99,2496411,190.72,3738227,27.9,53329233,89.88,11332534
25/10/2012,16.61,23081647,87.08,164081393,222.92,6741212,55.44,3648876,71.54,8193720,82.73,5509209,17.2,46350437,21.26,45774003,339.22,2403696,191.6,3250670,27.88,54083785,90.43,10387146
26/10/2012,16.79,23378731,86.29,254605834,238.24,11367410,55.75,5575955,71.11,4390017,83.53,5984041,17.29,31189060,21.11,42828103,337.91,1950865,193.27,4006523,28.21,57789995,90.62,11585256
31/10/2012,16.84,21058756,85.05,127500471,232.89,4797876,55.97,5707009,70.44,3778634,84.25,7166564,17.14,36798251,21.06,39182875,340.49,1537001,194.53,6052235,28.54,69467692,91.17,14848929
01/11/2012,16.95,19772272,85.22,90361922,232.14,3905997,56.85,6967018,70.79,3993286,84.81,5914967,17.5,32486083,21.34,46234753,344.14,2050471,197.15,3758833,29.52,72047818,91.6,15778607
02/11/2012,17.11,27572853,82.4,149843064,232.42,3374847,56.71,6107241,70.05,4400678,87.65,8557112,17.35,28771081,21.31,47480107,344.3,2324569,193.43,4260781,29.5,57139342,90.27,12744845
05/11/2012,17.37,31857694,83.52,132321224,234.33,1846241,56.36,3748271,70.41,3832980,85.79,6983144,17.4,22191379,21.41,30002485,341.82,1635894,194.14,2736431,29.63,38071723,90.63,11222790
06/11/2012,17.46,26321673,83.26,93729041,237.56,2664319,57.19,5092989,72.02,4923787,86.77,4044869,17.48,35546811,21.59,32736651,341.2,1582936,195.07,3281085,29.86,43408274,91.61,12027798
07/11/2012,17.39,24349034,79.71,198412186,232.06,3625570,55.57,7766643,70.11,6675666,88.08,7049360,17.21,49611632,21.13,45253406,333.89,2232438,191.16,4746744,29.08,57876864,88.18,19423485
08/11/2012,17.24,20329082,76.82,264036339,227.35,2991034,55.56,4531919,70.98,7364606,85.02,8209127,16.83,56064779,20.89,40771487,326.47,2598676,190.1,3542464,28.81,49841738,87.07,13745192
09/11/2012,17.26,23832307,78.15,232476496,226.31,3092767,55.83,4701009,73.25,10270019,83.66,6246172,16.82,43089923,21,40307661,331.85,3114084,189.64,3671517,28.83,43295893,87.21,13406958
12/11/2012,17.51,22364200,77.55,128950479,226.47,2129805,55.52,3291749,73.69,6497530,84.95,7286527,16.86,28773104,20.89,21818983,333.28,1405870,189.25,3067509,28.22,61112106,87.32,9004460
13/11/2012,17.85,29018362,77.56,133302610,226.6,2629797,54.74,4567615,73.36,7294774,85.18,5809442,16.85,72206117,20.68,41089074,329.86,1594639,188.32,3407573,27.09,131688992,86.47,12262513
14/11/2012,17.82,36405137,76.7,119291977,222.95,3034284,53.65,5839365,71.29,6064152,83.26,7697159,17.66,97062101,20.01,65539422,326.6,1668322,185.51,4404535,26.84,76095405,86.07,14526154
15/11/2012,17.89,35658904,75.09,197477385,220.6,3404622,53.64,4753106,71.04,3928498,81.1,8498038,17.94,55892312,20.06,51767716,323.95,1848939,185.85,3412016,26.66,50955598,86.14,13786678
16/11/2012,17.86,31017481,75.38,316722763,225.23,4353536,54.3,6563193,70.77,4858096,81.3,7797191,17.99,60823625,20.15,45295523,323.91,3438500,186.94,4660780,26.52,64088293,86.45,17405736
19/11/2012,18.36,32997005,80.82,205792965,229.71,3593171,55.23,7380235,71.96,3475812,81.93,8050900,18.3,40616346,20.66,38283370,334.44,2369716,190.35,3588996,26.73,57179237,87.67,12911918
20/11/2012,18.24,26228324,80.13,160687856,233.78,2772653,55.86,4039357,72.54,3160944,83.62,5674790,18.34,30380699,20.62,26846413,335.32,2089086,189.2,3170318,26.71,47070367,87.5,10289300
21/11/2012,18.4,19586186,80.24,93306759,238.03,2959494,55.98,3461374,73.15,3119793,83.33,5537360,18.48,30479820,20.68,41020494,333.27,2113011,190.29,5189519,26.95,66360250,88.01,13908996
23/11/2012,18.57,7714732,81.64,68206579,239.88,1776744,56.51,1487595,73.74,1579122,83.05,4517062,18.84,17262013,21.04,35456438,334.32,922477,193.49,3877583,27.7,57845672,89.09,11930987
26/11/2012,18.76,34042638,84.22,157644431,243.62,4178897,55.69,5184025,74.27,3709199,84.16,2663700,19.06,34609553,21.06,47748947,330.91,2205527,192.88,5211360,27.38,85198661,88.62,16424182
27/11/2012,18.93,29330447,83.54,133328454,243.4,3048476,54.44,9897625,74.49,5355769,84.65,4242030,18.96,53080382,20.87,33005681,335.69,2509598,191.23,3291094,27.08,45023854,87.35,11842202
28/11/2012,18.91,30314196,83.28,130264981,247.11,2744898,55.51,7215992,74.09,4245866,84.01,4196182,18.83,41265152,21.14,34786887,342.18,3041940,191.98,3603596,27.36,53018349,88.1,15959865
